target,position,sentence,hypernym,definition,label
spring,6,he will hold office until the spring of next year,season;time_of_year,the season of growth,T
behalf,8,spoke a good word in his friend is behalf,sake;interest,for someone is benefit usually expressed as in behalf rather than on behalf and usually with a possessive ,T
profession,7,the news spread rapidly through the medical profession,occupational_group;vocation,the body of people in a learned occupation,T
church,5,there is a lovely little church in the valley ,place_of_worship;house_of_prayer;house_of_god;house_of_worship,a place for public especially christian worship,T
fire,8,they retreated in the face of withering enemy fire,attack;onslaught;onset;onrush,the act of firing weapons or artillery at an enemy,T
post,5,it came by the first post,delivery;bringing,the delivery and collection of letters and packages,T
hand,1,his hand was illegible,writing,something written by hand,T
text,6,he wants to reconstruct the original text,matter,the words of something written,T
fill,3,he ate his fill of potatoes,enough;sufficiency,a quantity sufficient to satisfy,T
light,4,do you have a light ,device,a device for lighting or igniting fuel or charges or fires,T
window,2,the expanded window will give us time to catch the thieves,time_period;period_of_time;period,the time period that is considered best for starting or finishing something,T
person,6,there was too much for one person to do,causal_agent;cause;causal_agency,a human being,T
view,7,he changed seat to get a complete view of the stage ,look;looking;looking_at,the act of looking or seeing or observing,T
commercialization,7,both companies will retain control over the commercialization of their own products,exploitation;development,the act of commercializing something;involving something in commerce,T
courage,5, a great part of courage is the courage of having done the thing before ralph waldo emerson,spirit,a quality of spirit that enables you to face danger or pain without showing fear,T
body,1,a body of law,system;scheme,a collection of particulars considered as a system,T
unemployment,0,unemployment is a serious social evil,state,the state of being unemployed or not having a job,T
lead,6,the police are following a promising lead,evidence;grounds,evidence pointing to a possible solution,T
vote,11,the supreme court upheld the principle of one person one vote ,choice;selection;option;pick,a choice that is made by counting the number of people in favor of each alternative,T
war,1,the war on poverty,campaign;cause;crusade;drive;movement;effort,a concerted campaign to end something that is injurious,T
product,4,his reaction was the product of hunger and fatigue,consequence;effect;outcome;result;event;issue;upshot,a consequence of someone is efforts or of a particular set of circumstances,T
degree,13,she has two bachelor is degrees and is studying towards a master is degree ,award;accolade;honor;honour;laurels,an award conferred by a college or university signifying that the recipient has satisfactorily completed a course of study,T
grave,3,from cradle to grave,death;dying;demise,death of a person,T
support,3,the government provides support to the arts in several ways ,aid;assist;assistance;help,aiding the cause or policy or interests of,T
area,1,the area of a rectangle,extent,the extent of a dimensional surface enclosed within a boundary,T
face,6,put a big sign on each face of the building that can be seen from the road ,surface,a surface forming part of the outside of an object,T
court,6,the girls were playing in the court ,area,an area wholly or partly surrounded by walls or buildings,T
surgery,5,i dropped in on the surgery as i was passing to show the doctor my hemorrhoids ,room,a room where a doctor or dentist can be consulted,T
commission,3,he works on commission,fee,a fee for services rendered based on a percentage of an amount received or collected or agreed to be paid as distinguished from a salary ,T
backup,12,after the power failure we had to restore the database from backup ,duplicate;duplication, computer science a copy of a file or directory on a separate storage device,T
eye,4,that dress caught her eye ,attention;attending,attention to what is seen,T
commercialization,4,my father considered the commercialization of christmas to be a sacrilege,exploitation;development,the act of commercializing something;involving something in commerce,T
baby,3,stop being a baby ,person;individual;someone;somebody;mortal;soul,an immature childish person,T
action,2,the union action of emancipating southern slaves,group_action,an act by a government body or supranational organization,T
charge,4,the child was a charge of the nanny ,dependant;dependent,a person committed to your care,T
difficulty,1,had difficulty walking,effort;elbow_grease;exertion;travail;sweat,an effort that is inconvenient,T
skeleton,5,the battalion was a mere skeleton of its former self,minimum;lower_limit,something reduced to its minimal form,T
head,1,a head of lettuce,plant_organ,a dense cluster of flowers or foliage,T
age,4,it is been an age since we last saw you ,property,how long something has existed,T
grace,8,i am so grateful to god for the grace that he has given me ,beneficence, christian theology the free and unmerited favor or beneficence of god,T
wall,1,a wall of smoke,object;physical_object,anything that suggests a wall in structure or function or effect,T
mystery,6,how it got out is a mystery,perplexity,something that baffles understanding and cannot be explained,T
breath,3,the child is breath came quickly and unevenly ,bodily_process;body_process;bodily_function;activity,the process of taking in and expelling air during breathing,T
boy,14,the boys were playing kickball in the mud steve is a boy of ,male;male_person,a youthful male person,T
mechanism,1,the mechanism of the ear,natural_object,a natural object resembling a machine in structure or function,T
communication,6,they could not act without official communication from moscow,act;deed;human_action;human_activity,the activity of communicating;the activity of conveying information,T
flare,2,a colitis flare,attack,a sudden recurrence or worsening of symptoms,T
run,4,i am having a run of bad luck ,time_period;period_of_time;period,the continuous period of time during which something a machine or a factory operates or continues in operation,T
howl,3,he gave a howl of pain,utterance;vocalization,a long loud emotional utterance,T
product,18,that store offers a variety of products we have got to sell a lot of product by the end of the month ,commodity;trade_good;good,commodities offered for sale,T
repertory,1,the repertory of the supposed feats of mesmerism,collection;aggregation;accumulation;assemblage,the entire range of skills or aptitudes or devices used in a particular field or occupation,T
skin,7,he is so disgusting he makes my skin crawl ,body_covering,a natural protective body covering and site of the sense of touch,T
conflict,3,the harder the conflict the more glorious the triumph thomas paine,group_action,an open clash between two opposing groups or individuals ,T
trade,7,they are accused of conspiring to constrain trade,commerce;commercialism;mercantilism,the commercial exchange buying and selling on domestic or international markets of goods and services,T
door,3,education is the door to success,entree;access;accession;admission;admittance,anything providing a means of access or escape ,T
part,6,they resisted every effort on his part,concern,that which concerns a person with regard to a particular role or situation,T
school,1,the school was built in ,building;edifice,a building where young people receive education,T
multiplication,1,this multiplication of cells is a natural correlate of growth,increase;increment;growth,a multiplicative increase,T
floor,8,we spread our sleeping bags on the dry floor of the tent,horizontal_surface;level,the inside lower horizontal surface as of a room hallway tent or other structure ,T
slot,9,she beat some tough competition for the number one slot,status;position,a position in a hierarchy or organization,T
seat,1,the seat of these trousers is almost worn through ,cloth_covering,the cloth covering for the buttocks,T
part,4,we all have a part to play ,portrayal;characterization;enactment;personation,an actor is portrayal of someone in a play,T
price,4,i paid a high price for my folly ,cost,the amount of money needed to purchase something,T
sense,5,fortunately she had the good sense to run away,sagacity;sagaciousness;judgment;judgement;discernment,sound practical judgment,T
quality,1,the quality of mercy is not strained shakespeare,attribute,an essential and distinguishing attribute of something or someone,T
foot,4,armored from head to foot,vertebrate_foot;pedal_extremity,the part of the leg of a human being below the ankle joint,T
transplant,4,he had a kidney transplant,operation;surgery;surgical_operation;surgical_procedure;surgical_process,an operation moving an organ from one organism the donor to another the recipient ,T
head,7,we will consider performance issues under the head of future improvements ,subject;topic;theme,the subject matter at issue,T
attack,2,open to attack by the elements,degeneration;devolution,the onset of a corrosive or destructive process as by a chemical agent ,T
field,8,the set of all rational numbers is a field,set, mathematics a set of elements such that addition and multiplication are commutative and associative and multiplication is distributive over addition and there are two elements and ,T
time,4,they had a good time together,experience,a person is experience on a particular occasion,T
game,7,you need four people to play this game,activity,a contest with rules to determine a winner,T
performance,3,they admired his performance under stress,accomplishment;achievement,any recognized accomplishment,T
array,6,his tools were in an orderly array on the basement wall,display,an impressive display,T
defense,0,defense against hurricanes is an urgent problem,protection,the act of defending someone or something against attack or injury,T
calendar,5,the club has a busy calendar this year ,list;listing,a list or register of events appointments or social events or court cases etc ,T
order,0,order ruled in the streets,state,established customary state especially of society ,T
trouble,6,i went to a lot of trouble,effort;elbow_grease;exertion;travail;sweat,an effort that is inconvenient,T
queen,1,the queen of ocean liners,personification,something personified as a woman who is considered the best or most important of her kind,T
hinge,4,his absence is the hinge of our plan,circumstance,a circumstance upon which subsequent events depend,T
miracle,4,an example of a miracle associated with muhammad is the splitting of the moon ,event,a marvellous event manifesting a supernatural act of a divine agent,T
encounter,1,their encounter was a matter of chance,convergence,a casual or unexpected convergence,T
thread,1,a thread of smoke climbed upward,object;physical_object,any long object resembling a thin line,T
unit,5,the coach said the offensive unit did a good job,organization;organisation,an organization regarded as part of a larger social group,T
damage,4,how much is the damage ,cost,the amount of money needed to purchase something,T
finish,6,it was a fight to the finish,downfall;ruin;ruination,the downfall of someone as of persons on one side of a conflict ,T
street,3,walk down the street ,thoroughfare,a thoroughfare usually including sidewalks that is lined with buildings,T
hold,4,she kept a firm hold on the railing,grasping;taking_hold;seizing;prehension,the act of grasping,T
action,9,gawkers always try to get as close to the action as possible,work,the most important or interesting work or activity in a specific area or field,T
bit,6,i will be there in a bit i need to take care of something first he was here just a bit ago but it looks like he is stepped out ,time,an indefinitely short time,T
shopping,3,she loaded her shopping into the car women carrying home shopping did not give me a second glance,commodity;trade_good;good,the commodities purchased from stores;women carrying home shopping did not give me a second glance ,T
tendency,1,a tendency to be too strict,attitude;mental_attitude,an attitude of mind especially one that favors one alternative over others,T
light,2,put that light out ,source_of_illumination,any device serving as a source of illumination,T
channel,6,the ship went aground in the channel,body_of_water;water,a deep and relatively narrow body of water as in a river or a harbor or a strait linking two larger bodies that allows the best passage for vessels,T
vagueness,6,these terms were used with a vagueness that suggested little or no thought about what each might convey,unclearness,unclearness by virtue of being poorly expressed or not coherent in meaning,T
company,6,a hook and ladder company,unit;social_unit,a unit of firefighters including their equipment,T
night,4,it vanished into the night,dark;darkness,darkness,T
stay,3,a lengthy hospital stay,act;deed;human_action;human_activity,continuing or remaining in a place or state,T
tension,3,there is a tension between these approaches to understanding history,balance,a balance between and interplay of opposing elements or tendencies especially in art or literature ,T
time,9,the judge leniently granted a sentence with no hard time he is not living at home because he is doing time ,term,the period of time a prisoner is imprisoned,T
hegemony,12,to say they have priority is not to say they have complete hegemony,political_system;form_of_government,the dominance or leadership of one social group or nation over others,T
throat,1,the throat of a chimney,passage,a passage resembling a throat in shape or function,T
application,1,the application of indexes to tables of data,action,the action of putting something into operation,T
record,5,he ruled that the criminal record of the defendant could not be disclosed to the court,list;listing,a list of crimes for which an accused person has been previously convicted,T
member,1,a member of the faculty,associate,one of the persons who compose a social group especially individuals who have joined and participate in a group organization ,T
number,1,every number has a unique position in the sequence,definite_quantity,a concept of quantity involving zero and units,T
field,8,the home crowd cheered when princeton took the field,tract;piece_of_land;piece_of_ground;parcel_of_land;parcel,a piece of land prepared for playing a game,T
change,2,he got change for a twenty and used it to pay the taxi driver,cash;hard_cash;hard_currency,money received in return for its equivalent in a larger denomination or a different currency,T
tear,3,ryan wiped the tear from the paper he was crying on ,drop;drib;driblet,a drop of the clear salty saline solution secreted by the lacrimal glands,T
clarity,2,lack of clarity on the part of the teacher will cause confusion among the students ,comprehensibility;understandability,free from obscurity and easy to understand;the comprehensibility of clear expression,T
cardinal,1,the cardinal number three can be represented as or three ,number,the number of elements in a mathematical set;denotes a quantity but not the order,T
seat,1,the seat of a saddle,furniture;piece_of_furniture;article_of_furniture,furniture that is designed for sitting on,T
trojan,4,the contents of a trojan can be a virus or a worm,malevolent_program,a program that appears desirable but actually contains something harmful,T
disturbance,8,he looked around for the source of the disturbance,activity,activity that is a malfunction intrusion or interruption,T
tumult,1,the tumult of the elements,agitation,violent agitation,T
window,6,you have a two hour window of clear weather to finish working on the lawn ,time_period;period_of_time;period,the time period that is considered best for starting or finishing something,T
part,2,the written part of the exam,concept;conception;construct,one of the portions into which something is regarded as divided and which together constitute a whole,T
condition,2,a heart condition,illness;unwellness;malady;sickness,an illness disease or other medical problem,T
shock,2,the first shock of the earthquake came shortly after noon while workers were at lunch,earthquake;quake;temblor;seism,an instance of agitation of the earth is crust,T
sectarianism,3,he condemned religious sectarianism,narrow-mindedness;narrowness,a narrow minded adherence to a particular sect or party or denomination,T
traffic,0,traffic on the internet is lightest during the night,communication;communicating,the amount of activity over a communication system during a given period of time,T
ability,4,this wood has the ability to fight off insects fungus and mold for a considerable time ,quality,the quality of being able to perform;a quality that permits or facilitates achievement or accomplishment,T
head,3,she gave great head ,perversion;sexual_perversion,oral stimulation of the genitals,T
language,12,the speed with which a program can be executed depends on the language in which it is written,communication,a systematic means of communicating by the use of sounds or conventional symbols,T
travel,7,he enjoyed selling but he hated the travel,motion;movement;move,the act of going from one place to another,T
denial,10,every time we asked for an interview we got a denial ,speech_act,the act of refusing to comply as with a request ,T
set,1,a set of books,collection;aggregation;accumulation;assemblage,a group of things of the same kind that belong together and are so used,T
class,1,the class of all sets is not a set ,collection;aggregation;accumulation;assemblage,a collection of things sharing a common attribute,T
field,6,he needs some time in the field before his judgment can be trusted ,region,somewhere away from a studio or office or library or laboratory where practical work is done or data is collected,T
grater,10,i am making coleslaw do you know where the grater is ,kitchen_utensil,utensil with sharp perforations for shredding foods as vegetables or cheese ,T
antagonist,10,a flexor which bends a part is the antagonist of an extensor which extends it ,antagonistic_muscle,a muscle that relaxes while another contracts,T
field,1,oil field gold field,land;dry_land;earth;ground;solid_ground;terra_firma,extensive tract of level open land,T
comfort,4,his friendship was a comfort,gratification;satisfaction,satisfaction or physical well being provided by a person or thing,T
season,4,he celebrated his th season with the ballet company,time_period;period_of_time;period,a period of the year marked by special events or activities in some field,T
cup,1,the cup of her bra,concave_shape;concavity;incurvation;incurvature,any cup shaped concavity,T
compass,2,within the compass of an encircling wall,capability;capableness;potentiality,the limit of capability,T
day,14,day and night i work at night and sleep during the day ,time_period;period_of_time;period,the time after sunrise and before sunset while it is light outside,T
age,5,we live in a litigious age,era;epoch,an era of history having some distinctive feature,T
development,3,what a revolting development ,change;alteration;modification,a recent event that has some relevance for the present situation,T
life,6,he wanted to live his own life without interference from others,being;beingness;existence,the course of existence of an individual;the actions and events that occur in living,T
space,5,they stopped at an open space in the jungle,amorphous_shape,an empty area usually bounded in some way between things ,T
platoon,2,the defensive platoon of the football team,social_group,a group of persons who are engaged in a common activity,T
fair,1,trade fair,gathering;assemblage,gathering of producers to promote business,T
rest,14,now that we are all in agreement we can put that issue to rest ,inaction;inactivity;inactiveness,a state of inaction,T
facelift,4,give your home a facelift,renovation;redevelopment;overhaul,a renovation that improves the outward appearance as of a building but usually does not involve major changes,T
formation,1,the formation of memories,creating_by_mental_acts,creation by mental activity,T
orbit,3,the moon is orbit around the earth takes nearly one month to complete ,path;route;itinerary,the usually elliptical path described by one celestial body in its revolution about another,T
tab,4,files with a red tab will be stored separately,strip;slip,a short strip of material attached to or projecting from something in order to facilitate opening or identifying or handling it,T
baby,6,it was great to feel my baby moving about inside,fetus;foetus,an unborn child;a human fetus,T
run,3,she got a run in her stocking,damage;harm;impairment,a row of unravelled stitches,T
fun,5,i do it for the fun of it,diversion;recreation,activities that are enjoyable or amusing,T
side,5,he is on the purchasing side of the business,aspect;facet,an aspect of something as contrasted with some other implied aspect ,T
job,7,he gave it up as a bad job,work,the performance of a piece of work,T
slowcoach,7,in england they call a slowpoke a slowcoach,dawdler;drone;laggard;lagger;trailer;poke,someone who moves slowly,T
stay,4,a four month stay in bankruptcy court,act;deed;human_action;human_activity,continuing or remaining in a place or state,T
vermin,8,boys in the village have probably been shooting vermin,pest,any of various small animals or insects that are pests;e g cockroaches or rats,T
song,5,thomas listened to his favorite song on the radio yesterday ,musical_composition;opus;composition;piece;piece_of_music,a short musical composition with words,T
state,1,his state of health,attribute,the way something is with respect to its main attributes,T
wall,4,we are adding another wall in this room during the remodeling ,partition;divider,an architectural partition with a height and length greater than its thickness;used to divide or enclose an area or to support another structure,T
dwelling,4,he built a modest dwelling near the pond,housing;lodging;living_accommodations,housing that someone is living in,T
company,3,he started the company in his garage,institution;establishment,an institution created to conduct business,T
wave,1,a wave of settlers,motion;movement;move;motility,a movement like that of a sudden occurrence or increase in a specified phenomenon,T
habit,4,it is become a habit of mine to have a cup of coffee after dinner ,custom;tradition,an established custom,T
news,3,is there any news about the storm ,information;info,information reported in a newspaper or news magazine,T
neap,24, rear adm harry hill put in command of the amphibious force consults with local mariners and reaches a cautious consensus that neap high tide in the lagoon on november will surely be close to five feet deep michael kernan tarawa heavy fire unable to land issue in doubt smithsonian vol issue p p c bw nov ,high_tide;high_water;highwater,a less than average tide occurring at the first and third quarters of the moon,T
trouble,1,one trouble after another delayed the job,difficulty,a source of difficulty,T
breath,6,i could feel the runner is breath on my shoulder ,air,the air that is inhaled and exhaled in respiration,T
disposition,3,i have little disposition now to do as you say ,attitude;mental_attitude,an attitude of mind especially one that favors one alternative over others,T
variant,1,a variant of the same word,type,something a little different from others of the same type,T
metric,5,convert all the measurements to metric units,unit_of_measurement;unit,a decimal unit of measurement of the metric system based on meters and kilograms and seconds ,T
seat,4,he dusted off the seat before sitting down,support,any support where you can sit especially the part of a chair or bench etc on which you sit ,T
wrestle,4,they had a fierce wrestle,struggle,the act of engaging in close hand to hand combat,T
slip,3,he blamed his slip on the ice,mishap;misadventure;mischance,an accidental misstep threatening or causing a fall,T
fit,1,a fit of coughing,attack,a sudden uncontrollable attack,T
occasion,9,having people round for dinner was always quite an occasion at our house ,happening;occurrence;occurrent;natural_event,an event that occurs at a critical time,T
libido,3,for freudians libido means the desire to unite and bind with objects in the world ,sexual_desire;eros;concupiscence;physical_attraction, psychoanalysis a freudian term for sexual urge or desire,T
chromosome,3,humans have chromosome pairs plus two sex chromosomes,body,a threadlike strand of dna in the cell nucleus that carries the genes in a linear order,T
attitude,7,the ballet dancer walked with a graceful attitude,bodily_property,the arrangement of the body and its limbs,T
power,25,an incident which happened about this time will set the characters of these two lads more fairly before the discerning reader than is in the power of the longest dissertation ,quality,possession of controlling influence,T
outwardness,6,what is the origin of the outwardness of our sensations of sound smell or taste,cognitive_state;state_of_mind,concern with outward things or material objects as opposed to the mind and spirit,T
umbrella,5,the democratic party is an umbrella for many liberal groups,union;unification;uniting;conjugation;jointure,having the function of uniting a group of similar things,T
evil,6,attempts to explain the origin of evil in the world,immorality,the quality of being morally wrong in principle or practice,T
drag,3,he performed in drag ,clothing;article_of_clothing;vesture;wear;wearable;habiliment,clothing that is conventionally worn by the opposite sex especially women is clothing when worn by a man ,T
omophagia,32, uncomfortably i thought of the bacchae hooves and bloody ribs scraps dangling from the fir trees there was a word for it in greek omophagia donna tartt the secret history,eating;feeding,the eating of raw food,T
loaf,1,meat loaf,food;solid_food,a quantity of food other than bread formed in a particular shape,T
quality,3,a man of quality,social_station;social_status;social_rank;rank,high social status,T
dullness,3,without him the dullness of her life crept into her work no matter how she tried to compartmentalize it ,unfeelingness;callousness;callosity;hardness;insensibility,lack of sensibility,T
construction,4,he had worked in construction all his life ,commercial_enterprise;business_enterprise;business,the commercial activity involved in repairing old structures or constructing new ones,T
address,6,he failed in his manner of address to the captain,manner_of_speaking;speech;delivery,the manner of speaking to another individual,T
orbit,3,in the political orbit of a world power,extent,an area in which something acts or operates or has power or control ,T
account,1,an account of a battle ,record,a record or narrative description of past events,T
job,5,the barber did a real job on my hair,work,a damaging piece of work,T
style,2,a cartilaginous style,process;outgrowth;appendage,a slender bristlelike or tubular process,T
tone,2,from the tone of her behavior i gathered that i had outstayed my welcome,quality,the quality of something an act or a piece of writing that reveals the attitudes and presuppositions of the author,T
fatigue,5,the soldiers were put on fatigue to teach them a lesson,assignment;duty_assignment,labor of a nonmilitary kind done by soldiers cleaning or digging or draining or so on ,T
water,5,they were sitting by the water is edge,thing,the part of the earth is surface covered with water such as a river or lake or ocean ,T
search,4,the outcome justified the search,investigation;investigating,an investigation seeking answers,T
window,3,they had a window of less than an hour when an attack would have succeeded,time_period;period_of_time;period,the time period that is considered best for starting or finishing something,T
outfitter,1,an outfitter provided everything needed for the safari,garmentmaker;garment-worker;garment_worker,someone who sells men is clothes,F
body,2,the student body,body_part,the body excluding the head and neck and limbs,F
line,5,they attacked the enemy is line,differentiation;distinction,a conceptual separation or distinction,F
size,3,that is the size of the situation,magnitude,the physical magnitude of something how big it is ,F
matter,1,printed matter he always took some reading matter with him on the plane ,consequence;import;moment, used with negation having consequence,F
case,5,it may rain in which case the picnic will be canceled,grammatical_category;syntactic_category,nouns or pronouns or adjectives often marked by inflection related in some way to other words in a sentence,F
stuff,3,there is good stuff in that book,quality,unspecified qualities required to do or be something,F
hold,3,he has a hold over them,pause;intermission;break;interruption;suspension,time during which some action is awaited,F
reason,1,the reason a steady state was never reached was that the back pressure built up too slowly,faculty;mental_faculty;module,the capacity for rational thought or inference or discrimination,F
respect,7,he went to law school out of respect for his father is wishes,affection;affectionateness;fondness;tenderness;heart;warmness;warmheartedness;philia,a feeling of friendship and esteem,F
part,6,he tried to sing the tenor part,line,a line of scalp that can be seen when sections of hair are combed in opposite directions,F
push,6,he gave the door a hard push,force,the force used in pushing,F
invitation,3,she threw the invitation away,allure;allurement;temptingness,a tempting allurement,F
presence,3,he sensed the presence of danger,being;beingness;existence,the state of being present;current existence,F
play,4,they made a futile play for power,movability;movableness,movement or space for movement,F
third,3,he is playing third,gear;gear_mechanism,the third from the lowest forward ratio gear in the gear box of a motor vehicle,F
left,2,take a left at the corner,hand;manus;mitt;paw,the hand that is on the left side of the body,F
operation,2,the cognitive operation of remembering,business_activity;commercial_activity,a business especially one run on a large scale,F
touch,5,this dish could use a touch of garlic,exteroception,the faculty by which external objects or forces are perceived through contact with the body especially the hands ,F
neighborhood,8,he always blames someone else in the immediate neighborhood,indefinite_quantity,the approximate amount of something usually used prepositionally as in in the region of ,F
shock,8,loss of blood is an important cause of shock,reflex;reflex_response;reflex_action;instinctive_reflex;innate_reflex;inborn_reflex;unconditioned_reflex;physiological_reaction,a reflex response to the passage of electric current through the body,F
way,4,did not know the way home,distance,the property of distance in general,F
head,6,this song keeps going through my head ,striker,the striking part of a tool,F
play,3,they gave full play to the artist is talent,dramatic_composition;dramatic_work,a dramatic work intended for performance by actors on a stage,F
sound,1,the sound awakened them,channel,a narrow channel of the sea joining two larger bodies of water,F
life,6,she is my love my life ,experience,the experience of being alive;the course of human events and activities,F
spread,5,they put out quite a spread,disparity,a conspicuous disparity or difference as between two figures,F
gap,7,the exploring party went through the high gap in the mountains ,delay;holdup,an act of delaying or interrupting the continuity,F
occasion,1,an occasion arranged to honor the president,reason;ground,reason,F
confidence,0,confidence is always borrowed never owned,certainty,freedom from doubt;belief in yourself and your abilities,F
soul,1,the soul of honor,black_music;african-american_music,a secular form of gospel that was a major black musical genre in the s and s,F
effect,2,the magnetic effect was greater when the rod was lengthwise,validity;validness, of a law having legal validity,F
business,2,government and business could not agree,commerce;commercialism;mercantilism,the activity of providing goods and services involving financial and commercial and industrial aspects,F
make,1,what make of car do you drive ,reordering,the act of mixing cards haphazardly,F
panel,2,today is panel includes john smith ,electrical_device,electrical device consisting of a flat insulated surface that contains switches and dials and meters for controlling other electrical devices,F
center,6,he hit the ball to deep center,object,the object upon which interest and attention focuses,F
world,4,he sailed around the world,group;grouping,all of the living human inhabitants of the earth,F
change,1,the change of government had no impact on the economy,thing,a thing that is different,F
coast,1,the coast is clear,motion;movement;move,the act of moving smoothly along a surface while remaining in contact with it,F
taste,4,arrogance and lack of taste contributed to his rapid success,experience,a brief experience of something,F
corner,5,a piano was in one corner of the room,point,the point where two lines meet or intersect,F
end,10,the so called glorious experiment came to an inglorious end,ending;conclusion;finish,the concluding parts of an event or occurrence,F
degree,2,a remarkable degree of frankness,angular_unit,a measure for arcs and angles,F
pledge,4,his saxophone was in pledge,commitment;dedication,a binding commitment to do or give or refrain from something,F
position,6,atheists do not enjoy a favorable position in american life,item;point,an item on a list or in a sequence,F
light,3,there was a light at every corner,illumination,having abundant light or illumination,F
catch,3,there was a catch in his voice when he spoke his father is name ,game,a cooperative game in which a ball is passed back and forth,F
respect,3,she lost all respect for him,politeness;civility,a courteous expression by word or deed of esteem or regard,F
part,5,he wanted to feel a part of something bigger than himself,portrayal;characterization;enactment;personation,an actor is portrayal of someone in a play,F
pursuit,1,the pursuit of love,motion;movement;move,the act of pursuing in an effort to overtake or capture,F
civilization,7,the people slowly progressed from barbarism to civilization,excellence,the quality of excellence in thought and manners and taste,F
interest,5,he has a lot of interest in vintage cars ,social_group, usually plural a social group whose members control some field of activity and who have common aims,F
corner,2,the chimney corner was full of cobwebs ,area,an interior angle formed by two meeting walls,F
movement,2,the second movement is slow and melodic,action;action_mechanism,the driving and regulating parts of a mechanism as of a watch or clock ,F
chance,3,you take a chance when you let her drive,possibility;possibleness,a possibility due to a favorable combination of circumstances,F
head,5,they say he gives good head,top,the top of something,F
goal,2,the winning goal came with less than a minute left to play,content;cognitive_content;mental_object,the state of affairs that a plan is intended to achieve and that when achieved terminates behavior intended to achieve it,F
excuse,2,a poor excuse for an automobile,note;short_letter;line;billet,a note explaining an absence,F
course,1,the course of the river,education;instruction;teaching;pedagogy;didactics;educational_activity,education imparted in a series of lessons or meetings,F
tension,4,the direction of maximum tension moves asymptotically toward the direction of the shear,balance,a balance between and interplay of opposing elements or tendencies especially in art or literature ,F
quality,10,membership of this golf club is limited to those of quality and wealth ,attribute,an essential and distinguishing attribute of something or someone,F
action,7,his novels always have a lot of action,process;physical_process,a process existing in or produced by nature rather than by the intent of human beings ,F
extension,4,they applied for an extension of the loan,meaning;substance,the most direct or specific meaning of a word or expression;the class of objects that an expression refers to,F
difference,9,you need to learn to be more tolerant of difference ,change,a significant change,F
point,3,get to the point,measure;quantity;amount,an instant of time,F
tea,7,go to the supermarket and buy some tea ,herb,dried leaves of the tea shrub;used to make tea,F
number,4,he has an unlisted number,amount,the property possessed by a sum or total or indefinite quantity of units or individuals,F
post,3,he occupied a post in the treasury,visual_signal,a pole or stake set up to mark something as the start or end of a race track ,F
stick,6,the policy so far is all stick and no carrot,leg,informal terms for the leg,F
stand,2,a bedside stand,defense;defence;defensive_measure,a defensive effort,F
spot,1,night spot,marking,a small contrasting part of something,F
action,4,he is out of action,mechanism,the operating part that transmits power to a mechanism,F
smoke,3,it was just smoke and mirrors,pitch;delivery, baseball a pitch thrown with maximum velocity,F
score,2,settling a score,success,the act of scoring in a game or sport,F
squeeze,4,she was his main squeeze,compression;compressing,the act of gripping and pressing firmly,F
grace,5,it was debated whether saving grace could be obtained outside the membership of the church,beneficence, christian theology the free and unmerited favor or beneficence of god,F
figure,4,he cut a sorry figure standing there in the rain ,model;simulation,a model of a bodily form especially of a person ,F
grave,7,he put flowers on his mother is grave,death;dying;demise,death of a person,F
quota,5,all the salesmen met their quota for the month,trade_barrier;import_barrier,a limitation on imports,F
formula,5,he gave us a general formula for attacking polynomials,mathematical_statement,a group of symbols that make a mathematical statement,F
case,2,the accusative case canonically indicates a direct object latin has six cases and remnants of a seventh ,state_of_mind;frame_of_mind,a specific state of mind that is temporary,F
line,4,he got out of line,mark;print,a mark that is long relative to its width,F
piece,3,he sacrificed a piece to get a strategic advantage,creation,an artistic or literary composition,F
language,2,the english language sign language,higher_cognitive_process,the cognitive processes involved in producing and understanding linguistic communication,F
score,4,add it to my score and i will settle later,set,a set of twenty members,F
way,1,make way for,path;route;itinerary,a line leading to a place or point,F
resolution,3,printing at higher resolution will cause a reduction in performance ,statement,a statement that solves a problem or explains how to solve the problem,F
arrangement,1,the arrangement of the furniture,group;grouping,an orderly grouping of things or persons considered as a unit;the result of arranging,F
head,4,matters came to a head yesterday,individual,an individual person,F
foot,1,the foot of the mountain,vertebrate_foot;pedal_extremity,the part of the leg of a human being below the ankle joint,F
machine,6,the boxer was a magnificent fighting machine,organization;organisation,an intricate organization that accomplishes its goals efficiently,F
system,3,in a static system oil can not be replaced by water on a surface,group;grouping,a group of independent but interrelated elements comprising a unified whole,F
pocket,5,the trapped miners found a pocket of air,people,a small isolated group of people,F
explosion,1,the explosion was heard a mile away,effusion;gush;outburst;blowup;ebullition,a sudden outburst,F
flare,3,he threw a flare to the fullback who was tackled for a loss,attack,a sudden recurrence or worsening of symptoms,F
presence,7,i am convinced that there was a presence in that building that i ca not explain which led to my heroic actions ,being;beingness;existence,the state of being present;current existence,F
presentation,3,he prepared his presentation carefully in advance,position;posture;attitude, obstetrics position of the fetus in the uterus relative to the birth canal,F
variety,3,the range and variety of his work is amazing,taxonomic_group;taxonomic_category;taxon, biology a taxonomic category consisting of members of a species that differ from others of the same species in minor but heritable characteristics,F
book,5,i am reading a good book on economics,record,a record in which commercial accounts are recorded,F
tip,3,he got a tip on the stock market,topographic_point;place;spot,the top or extreme point of something usually a mountain or hill ,F
reading,3,he bought some reading material at the airport,measurement;measuring;measure;mensuration,the act of measuring with meters or similar instruments,F
